RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote
XP6;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
XP7;Вилка;QMS-078-02-SL-D-RA-MG; ; ; ; ;Samtec; ; ; ; ; ; ;Прочие изделия; 
XS1;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; 
XS2;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; 
XS3;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; 
XS4;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; 
XS5;Вилка;83612-9020; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
XS6;Розетка;280-027S5S50MTNA; ; ; ; ;Glenair; ; ; ; ; ; ;Прочие изделия; 
XS7;Розетка;MUSB-C111-M0; ; ; ; ;Amphenol; ; ; ; ; ; ;Прочие изделия; 
XS8;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; 
XT1;Лепесток; ;2-1,6-6,0-14-00; ;ГОСТ 16840-78; ; ; ; ; ; ; ; ;Стандартные изделия; 
XT2;Лепесток; ;2-1,6-6,0-14-00; ;ГОСТ 16840-78; ; ; ; ; ; ; ; ;Стандартные изделия; 
XT3;Ловитель; ; ; ; ;СТИК.741532.035;НИИАО; ; ; ; ; ; ;Детали; 
XT4;Ловитель; ; ; ; ;СТИК.741532.035;НИИАО; ; ; ; ; ; ;Детали; 
X1;Кабель;FFMD-05-T-02.00-01-N; ; ; ; ;Samtec; ; ; ; ; ; ;Прочие изделия; 
