RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote
R48;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R49;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R50;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R51;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R52;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R53;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R54;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R55;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R56;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R57;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R58;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R59;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R60;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R61;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R62;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R63;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R64;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R65;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R66;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R67;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R68;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R69;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R70;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R71;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R72;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R73;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
