RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
F14            ;               ;           ;                                                                ;          ;          ;                              ;Littlefuse                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
F15            ;               ;           ;                                                                ;          ;          ;                              ;Littlefuse                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
F16            ;               ;           ;                                                                ;          ;          ;                              ;Littlefuse                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
FU1            ;               ;           ;                                                                ;1 ְ       ;          ;                              ;Bourns                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
FU2            ;               ;           ;                                                                ;2,5 ְ     ;          ;                              ;Bourns                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL1            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL2            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL3            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL4            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL5            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL6            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL7            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL8            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL9            ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL10           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL11           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL12           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL13           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL14           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL15           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL16           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL17           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL18           ;               ;           ;                                                                ;          ;          ;                              ;Kingbright                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL19           ;               ;           ;                                                                ;          ;          ;                              ;Kingbright                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL20           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL21           ;               ;           ;                                                                ;          ;          ;                              ;Kingbright                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
HL22           ;               ;           ;                                                                ;          ;          ;                              ;Bright LED                      ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
L1             ;               ;           ;                                                                ;1 לך      ;          ;                              ;Coilcraft                       ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
L2             ;               ;           ;                                                                ;1 לך      ;          ;                              ;Coilcraft                       ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
L3             ;               ;           ;                                                                ;8,2 לך    ;          ;                              ;Coilcraft                       ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R1             ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R2             ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R3             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R4             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R5             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R6             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R7             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R8             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R9             ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R10            ;               ;           ;                                                                ;100 Ê     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R11            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R12            ;               ;           ;                                                                ;1,62 Ê    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R13            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R14            ;               ;           ;                                                                ;182 Ê     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R15            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R16            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R17            ;               ;           ;                                                                ;576 Ê     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R18            ;               ;           ;                                                                ;1 ּ       ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R19            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R20            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R21            ;               ;           ;                                                                ;100 Ê     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R22            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R23            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R24            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R25            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R26            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R27            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R28            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R29            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R30            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R31            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R32            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R33            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R34            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;50%        
R35            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R36            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R37            ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R38            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R39            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R40            ;               ;           ;                                                                ;2 Ê       ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R41            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R42            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R43            ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R44            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R45            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R46            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R47            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R48            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R49            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R50            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R51            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R52            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R53            ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R54            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R55            ;               ;           ;                                                                ;          ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R56            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R57            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R58            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R59            ;               ;           ;                                                                ;75 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R60            ;               ;           ;                                                                ;510 Ê     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
R61            ;               ;           ;                                                                ;510 Ê     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
R62            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R63            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R64            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R65            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R66            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R67            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R68            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R69            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R70            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R71            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R72            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R73            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R74            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R75            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R76            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R77            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R78            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R79            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R80            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R81            ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
