RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
C70            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C71            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C72            ;               ;           ;                                                                ;1000      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C73            ;               ;           ;                                                                ;1000      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C74            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C75            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C76            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C77            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C78            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C79            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C80            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C81            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
