       Variants report for Z:\PRJ\SEZ\MKm-3\PCB\MKm-3\MKm-3\PCB\MKm-3.pcb
       ==================================================================
Variant group: (Default)

Date : 19.09.2016 15:42:13

+---------+--------------------------+-----+-----+
| Ref Des | Part Number              | 01  | 02  |
| C226    | C0402C104J4RAC           | DNP |     |
| C227    | C0402C104J4RAC           | DNP |     |
| C228    | C0402C104J4RAC           | DNP |     |
| C229    | C0402C104J4RAC           | DNP |     |
| C230    | C0402C104J4RAC           | DNP |     |
| C231    | C0402C104J4RAC           | DNP |     |
| C232    | C0402C104J4RAC           | DNP |     |
| C233    | C1206C106K3RAC           | DNP |     |
| C234    | C0402C393J4RAC           | DNP |     |
| C235    | C0402C104J4RAC           | DNP |     |
| C236    | C0402C104J4RAC           | DNP |     |
| C237    | C0402C104J4RAC           | DNP |     |
| C238    | C0402C104J4RAC           | DNP |     |
| C239    | C1206C106K3RAC           | DNP |     |
| C240    | C1206C106K3RAC           | DNP |     |
| C241    | T58MM106M6R3C0300        | DNP | DNP |
| C242    | C0402C104J4RAC           | DNP |     |
| C243    | C0402C180J4RAC           |     |     |
| C244    | C0402C104J4RAC           |     |     |
| C245    | C0402C104J4RAC           |     |     |
| C246    | C0402C104J4RAC           |     |     |
| C247    | C0402C104J4RAC           |     |     |
| C248    | C0402C104J4RAC           |     |     |
| C249    | C0402C104J4RAC           |     |     |
| C250    | C0805C475K4RAC           |     |     |
| C251    | C0402C180J4RAC           |     |     |
| C252    | C0402C104J4RAC           |     |     |
| C253    | C0402C104J4RAC           |     |     |
| C254    | C0402C104J4RAC           |     |     |
| C255    | C0402C104J4RAC           |     |     |
| C256    | C0402C104J4RAC           |     |     |
| DA1     | MMPF0100NPANES           |     |     |
| DA2     | LT3995IMSE#PBF           |     |     |
| DD1     | TPS3808G01DBVRG4         |     |     |
| DD2     | SN74LVC1G11DCKREP        |     |     |
| DD3     | LTC4303IMS8              | DNP |     |
| DD4     | 88E6097-XX-TAH-I000      |     |     |
| DD5     | AT93C66B-XHM-T           |     |     |
| DD6     | 88E6097-XX-TAH-I000      |     |     |
| DD7     | AT93C66B-XHM-T           |     |     |
| DD8     | I210-IS                  | DNP |     |
| DD9     | SST25VF040B-50-4I-SAE    | DNP |     |
| DD10    | MK22FX512AVLH12          |     |     |
| DD11    | LTC4303IMS8              |     |     |
| DD12    | AT24C32E-XHM-T           |     |     |
| DD13    | TMP100-EP                |     |     |
| DD14    | TMP100-EP                |     |     |
| FU1     | SF-0603S100-2            |     |     |
| FU2     | SF-0603S250-2            | DNP | DNP |
| F1      | SP0504SHTG               |     |     |
| F2      | SP0504SHTG               |     |     |
| F3      | SP0504SHTG               |     |     |
| F4      | SP0504SHTG               |     |     |
| F5      | SP0504SHTG               |     |     |
| F6      | SP0504SHTG               |     |     |
| F7      | SP0504SHTG               |     |     |
| F8      | SP0504SHTG               |     |     |
| F9      | SP0504SHTG               |     |     |
| F10     | SP0504SHTG               |     |     |
| F11     | SP0504SHTG               |     |     |
| F12     | SP0504SHTG               |     |     |
| F13     | SP0504SHTG               |     |     |
| F14     | SP0504SHTG               |     |     |
| F15     | SP0504SHTG               |     |     |
| F16     | SP0504SHTG               |     |     |
| HL1     | BL-HG036D-TRB            |     |     |
| HL2     | BL-HG036D-TRB            |     |     |
| HL3     | BL-HG036D-TRB            |     |     |
| HL4     | BL-HG036D-TRB            |     |     |
| HL5     | BL-HG036D-TRB            |     |     |
| HL6     | BL-HG036D-TRB            |     |     |
| HL7     | BL-HG036D-TRB            |     |     |
| HL8     | BL-HG036D-TRB            |     |     |
| HL9     | BL-HG036D-TRB            |     |     |
| HL10    | BL-HG036D-TRB            |     |     |
| HL11    | BL-HG036D-TRB            |     |     |
| HL12    | BL-HG036D-TRB            |     |     |
| HL13    | BL-HG036D-TRB            |     |     |
| HL14    | BL-HG036D-TRB            |     |     |
